group;object_id;index;name;req_type;resp_type;unit;description;enum_map
FLASH_RTC;0x4E0C56F2;267;flash_rtc.rtc_mcc_quartz_ppm_difference;FLOAT;FLOAT;ppm;Quartz frequency difference between RTC and Microcontroller;
HW_TEST;0x4E2B42A4;268;hw_test.bt_power[0];FLOAT;FLOAT;;;
OTHERS;0x4E3CB7F8;269;phase_3_mode;BOOL;BOOL;;3-phase feed in;
G_SYNC;0x4E49AEC5;270;g_sync.p_ac_sum;FLOAT;FLOAT;W;Real power;
BATTERY;0x4E699086;271;battery.module_sn[4];STRING;STRING;;Module 4 Serial Number;
HW_TEST;0x4E77B2CE;272;hw_test.bt_cycle;UINT8;UINT8;;;
LOGGER;0x4E9D95A6;273;logger.year_eext_log_ts;INT32;TIMESERIES;;;
ENERGY;0x4EE8DB78;274;energy.e_load_year_sum;FLOAT;FLOAT;;;
IO_BOARD;0x4F330E08;275;io_board.io2_usage;ENUM;ENUM;;Digital I/O 2 usage;0=I/O not used|1=Input S0 grid power consumption|2=Input S0 grid power feed-in|3=Input S0 household power|4=Output S0 inverter power|5=Input level switch|6=Input emergency turn off|7=Output S0 grid power feed-in|8=Output S0 household power|9=Output S0 solar power|10=Input S0 external power
DB;0x4F735D10;276;db.temp2;FLOAT;FLOAT;°C;Heat sink (battery actuator) temperature;
BATTERY_PLACEHOLDER;0x4FC53F19;277;battery_placeholder[0].module_sn[3];STRING;STRING;;Module 3 Serial Number;
BATTERY_PLACEHOLDER;0x4FEDC1BE;278;battery_placeholder[0].cells_stat[5].t_min.value;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x4FF8CCE2;279;battery_placeholder[0].stack_software_version[5];UINT32;UINT32;;Software version stack 5;
BATTERY;0x501A162D;280;battery.cells_resist[5];BATTERY_MODULE_RESISTANCE;BATTERY_MODULE_RESISTANCE;;;
BATTERY;0x50514732;281;battery.cells_stat[6].u_min.index;UINT8;UINT8;;;
ADC;0x508FCE78;282;adc.u_ref_1_5v[3];UINT16;UINT16;V;Reference voltage 4;
LOGGER;0x50B441C1;283;logger.minutes_ea_log_ts;INT32;TIMESERIES;;;
PRIM_SM;0x5151D84C;284;prim_sm.island_reset_retrials_counter_time;FLOAT;FLOAT;min;Reset island trials counter in (by 0 not used);
BATTERY;0x518C7BBE;285;battery.cells_stat[5].u_min.time;UINT32;UINT32;;;
BATTERY_PLACEHOLDER;0x51E5377D;286;battery_placeholder[0].stack_cycles[1];UINT16;UINT16;;;
LOGGER;0x5293B668;287;logger.minutes_soc_log_ts;INT32;TIMESERIES;%;;
BATTERY_PLACEHOLDER;0x53656F42;288;battery_placeholder[0].cells_stat[2].u_max.index;UINT8;UINT8;;;
BATTERY;0x537C719F;289;battery.cells_stat[0].t_max.value;FLOAT;FLOAT;;;
WIFI;0x53886C09;290;wifi.connect_to_service;UINT8;UINT8;;;
NSM;0x53EF7649;291;nsm.p_u[0][0];FLOAT;FLOAT;;Point 1 P/Pn;
LOGGER;0x5411CE1B;292;logger.minutes_ul1_log_ts;INT32;TIMESERIES;V;;
GRID_MON;0x5438B68E;293;grid_mon[1].u_over.threshold;FLOAT;FLOAT;V;Max. voltage level 2;
P_REC;0x54829753;294;p_rec_lim[1];FLOAT;FLOAT;W;Max. battery to grid power;
G_SYNC;0x54B4684E;295;g_sync.u_l_rms[1];FLOAT;FLOAT;V;AC voltage phase 2;
IO_BOARD;0x54DBC202;296;io_board.rse_table[12];FLOAT;FLOAT;;K4..K1: 1100;
LOGGER;0x554D8FEE;297;logger.minutes_eac2_log_ts;INT32;TIMESERIES;;;
BATTERY;0x5570401B;298;battery.stored_energy;FLOAT;FLOAT;Wh;Total energy flow into battery;
G_SYNC;0x55C22966;299;g_sync.s_ac[2];FLOAT;FLOAT;VA;Apparent power phase 3;
BATTERY;0x55DDF7BA;300;battery.max_cell_temperature;FLOAT;FLOAT;;;
WIFI;0x5673D737;301;wifi.connect_to_wifi;BOOL;BOOL;;;
WIFI;0x57429627;302;wifi.authentication_method;STRING;STRING;;WiFi authentication method;
BATTERY_PLACEHOLDER;0x576D2A08;303;battery_placeholder[0].cells_stat[3].t_min.time;UINT32;UINT32;;;
BATTERY_PLACEHOLDER;0x57945EE4;304;battery_placeholder[0].maximum_charge_current;FLOAT;FLOAT;A;Max. charge current;
HW_TEST;0x58378BD0;305;hw_test.bt_time[3];FLOAT;FLOAT;;;
BATTERY;0x5847E59E;306;battery.maximum_charge_voltage_constant_u;FLOAT;FLOAT;V;Max. charge voltage;
IO_BOARD;0x5867B3BE;307;io_board.rse_table[2];FLOAT;FLOAT;;K4..K1: 0010;
IO_BOARD;0x58C1A946;308;io_board.check_state;UINT8;UINT8;;;
POWER_MNG;0x592B13DF;966;power_mng.schedule[1]??;STRING;STRING;;;
POWER_MNG;0x592B13DF;309;power_mng.schedule[4];STRING;STRING;;;
POWER_MNG;0x59358EB2;310;power_mng.maximum_charge_voltage;FLOAT;FLOAT;V;Max. battery charge voltage;
BATTERY;0x5939EC5D;311;battery.module_sn[6];STRING;STRING;;Module 6 Serial Number;
WIFI;0x5952E5E6;312;wifi.mask;STRING;STRING;;Netmask;
BATTERY;0x5A120CE4;313;battery.cells_stat[1].t_max.time;UINT32;UINT32;;;
WIFI;0x5A316247;314;wifi.mode;STRING;STRING;;WiFi mode;
BATTERY;0x5A9EEFF0;315;battery.stack_cycles[4];UINT16;UINT16;;;
BATTERY;0x5AF50FD7;316;battery.cells_stat[4].t_min.value;FLOAT;FLOAT;;;
POWER_MNG;0x5B10CE81;317;power_mng.is_heiphoss;UINT8;UINT8;;HeiPhoss mode;
BATTERY;0x5BA122A5;318;battery.stack_cycles[2];UINT16;UINT16;;;
DC_CONV;0x5BB8075A;319;dc_conv.dc_conv_struct[1].u_sg_lp;FLOAT;FLOAT;V;Solar generator B voltage;
IO_BOARD;0x5BD2DB45;320;io_board.io1_s0_imp_per_kwh;INT16;INT16;;Number of impulses per kWh for S0 signal on I/O 1;
BATTERY_PLACEHOLDER;0x5C93093B;321;battery_placeholder[0].status2;INT32;INT32;;Battery extra status;
DB;0x5CD75669;322;db.power_board.afi_t150;FLOAT;FLOAT;s;AFI 150 mA switching off time;
P_REC;0x5D0CDCF0;323;p_rec_available[2];FLOAT;FLOAT;W;Available Pac;
NET;0x5D1B0835;324;net.use_network_filter;BOOL;BOOL;;;
LOGGER;0x5D34D09D;325;logger.month_egrid_load_log_ts;INT32;TIMESERIES;;;
NET;0x5E540FB2;326;net.update_slaves;BOOL;BOOL;;Activate aut. update slaves;
DC_CONV;0x5E942C62;327;dc_conv.dc_conv_struct[1].mpp.fixed_voltage;FLOAT;FLOAT;V;Fixed voltage Solar generator B;
IO_BOARD;0x5EE03C45;328;io_board.alarm_home_relay_mode;ENUM;ENUM;;Multifunctional relay usage;0=Not used|1=Alarm|2=Load
BATTERY_PLACEHOLDER;0x5EF54372;329;battery_placeholder[0].cells_stat[0].u_max.index;UINT8;UINT8;;;
PRIM_SM;0x5F33284E;330;prim_sm.state;ENUM;ENUM;;Inverter status;0=Standby|1=Initialization|2=Standby|3=Efficiency (debug state)|4=Insulation check|5=Island check (decide if grid or island mode)|6=Power check (check if enough energy is available to start)|7=Symmetry (DC link alignment)|8=Relais test|9=Grid passive (inverter has power from the grid, not synchronized|10=Prepare Bat Passive|11=Battery Passive (inverter not connected to grid, powered by battery)|12=H/W check (start-preparation)|13=Feed in
G_SYNC;0x6002891F;331;g_sync.p_ac_sc_sum;FLOAT;FLOAT;W;Grid power (ext. sensors);
BATTERY_PLACEHOLDER;0x60435F1C;332;battery_placeholder[0].cells[6];STRING;STRING;;;
BATTERY;0x60749E5E;333;battery.cells_stat[6].u_min.time;UINT32;UINT32;;;
LOGGER;0x60A9A532;334;logger.day_eext_log_ts;INT32;TIMESERIES;;;
G_SYNC;0x612F7EAB;335;g_sync.s_ac[1];FLOAT;FLOAT;VA;Apparent power phase 2;
BATTERY;0x61EAC702;336;battery.cells_stat[0].t_min.value;FLOAT;FLOAT;;;
BATTERY;0x6213589B;337;battery.cells_stat[6].u_min.value;FLOAT;FLOAT;;;
DB;0x6279F2A3;338;db.power_board.version_boot;UINT32;UINT32;;PIC bootloader software version;
DC_CONV;0x62B8940B;339;dc_conv.start_voltage;FLOAT;FLOAT;V;Inverter DC-voltage start value;
BATTERY;0x62D645D9;340;battery.cells[5];BATTERY_MODULE_STATUS;BATTERY_MODULE_STATUS;;;
ENERGY;0x62FBE7DC;341;energy.e_grid_load_total;FLOAT;FLOAT;Wh;Total energy grid load;
G_SYNC;0x63476DBE;342;g_sync.u_ptp_rms[0];FLOAT;FLOAT;V;Phase to phase voltage 1;
BATTERY_PLACEHOLDER;0x6383DEA9;343;battery_placeholder[0].cells_stat[1].t_max.value;FLOAT;FLOAT;;;
BATTERY;0x6388556C;344;battery.stack_software_version[0];UINT32;UINT32;;Software version stack 0;
BATTERY;0x6445D856;345;battery.cells_stat[1].u_min.index;UINT8;UINT8;;;
DC_CONV;0x6476A836;346;dc_conv.dc_conv_struct[0].mpp.enable_scan;BOOL;BOOL;;Enable rescan for global MPP on solar generator A;
BATTERY;0x649B10DA;347;battery.cells_resist[0];BATTERY_MODULE_RESISTANCE;BATTERY_MODULE_RESISTANCE;;;
G_SYNC;0x650C1ED7;348;g_sync.i_dr_eff[1];FLOAT;FLOAT;A;Current phase 2;
BATTERY_PLACEHOLDER;0x652B7536;349;battery_placeholder[0].cells_stat[3].t_min.index;UINT8;UINT8;;;
POWER_MNG;0x6599E3D3;965;power_mng.schedule[0]??;STRING;STRING;;;
POWER_MNG;0x6599E3D3;350;power_mng.schedule[3];STRING;STRING;;;
FLASH_PARAM;0x65A44A98;351;flash_mem;STRING;STRING;;;
ENERGY;0x65B624AB;352;energy.e_grid_feed_month;FLOAT;FLOAT;Wh;Month energy grid feed-in;
BATTERY;0x65EED11B;353;battery.voltage;FLOAT;FLOAT;V;Battery voltage;
POWER_MNG;0x663F1452;354;power_mng.n_batteries;UINT8;UINT8;;;
IO_BOARD;0x664A1326;355;io_board.rse_table[14];FLOAT;FLOAT;;K4..K1: 1110;
LOGGER;0x669D02FE;356;logger.minutes_eac_log_ts;INT32;TIMESERIES;;;
ENERGY;0x6709A2F4;357;energy.e_ac_year_sum;FLOAT;FLOAT;;;
POWER_MNG;0x672552DC;358;power_mng.bat_calib_days_in_advance;UINT8;UINT8;;Battery calibration days in advance;
BATTERY_PLACEHOLDER;0x6743CCCE;359;battery_placeholder[0].cells_stat[6].t_max.index;UINT8;UINT8;;;
DC_CONV;0x675776B1;360;dc_conv.dc_conv_struct[1].u_target;FLOAT;FLOAT;V;MPP on input B;
DISPLAY_STRUCT;0x67BF3003;361;display_struct.display_dir;BOOL;BOOL;;Rotate display;
NET;0x67C0A2F5;362;net.slave_p_total;FLOAT;FLOAT;;;
POWER_MNG;0x682CDDA1;363;power_mng.battery_type;ENUM;ENUM;;Battery type;0=Lead-acid Powerfit|1=Li-Ion Akesol|2=Laukner|3=Li-Ion RCT Power|4=Li-Ion Zach|5=No battery|6=Power loop 200 V|7=BYD D-BOX H
IO_BOARD;0x6830F6E4;364;io_board.rse_table[9];FLOAT;FLOAT;;K4..K1: 1001;
IO_BOARD;0x68BA92E1;365;io_board.io2_s0_imp_per_kwh;INT16;INT16;;Number of impulses per kWh for S0 signal on I/O 2;
OTHERS;0x68BC034D;366;parameter_file;STRING;STRING;;Norm;
ENERGY;0x68EEFD3D;367;energy.e_dc_total[1];FLOAT;FLOAT;Wh;Solar generator B total energy;
BATTERY_PLACEHOLDER;0x690C32D2;368;battery_placeholder[0].module_sn[0];STRING;STRING;;Module 0 Serial Number;
BATTERY;0x6974798A;369;battery.stack_software_version[6];UINT32;UINT32;;Software version stack 6;
CAN_BUS;0x69AA598A;370;can_bus.requested_id;INT32;INT32;;;
BATTERY;0x69B8FF28;371;battery.cells[2];BATTERY_MODULE_STATUS;BATTERY_MODULE_STATUS;;;
LOGGER;0x6B5A56C2;372;logger.month_eb_log_ts;INT32;TIMESERIES;;;
DB;0x6BA10831;373;db.power_board.afi_i30;FLOAT;FLOAT;A;AFI 30 mA threshold;
LINE_MON;0x6BBDC7C8;374;line_mon.u_max;FLOAT;FLOAT;V;Max line voltage;
HW_TEST;0x6BFF1AF4;375;hw_test.bt_power[2];FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x6C03F5ED;376;battery_placeholder[0].bms_power_version;UINT32;UINT32;;Software version BMS Power;
BATTERY_PLACEHOLDER;0x6C10E96A;377;battery_placeholder[0].cells_stat[0].u_min.time;UINT32;UINT32;;;
MODBUS;0x6C243F71;378;modbus.address;UINT8;UINT8;;RS485 address;
IO_BOARD;0x6C2D00E4;379;io_board.rse_table[1];FLOAT;FLOAT;;K4..K1: 0001;
OTHERS;0x6C44F721;380;i_dc_max;FLOAT;FLOAT;A;Max. DC-component of Iac;
ENERGY;0x6CFCD774;381;energy.e_dc_year_sum[1];FLOAT;FLOAT;;;
CS_MAP;0x6D5318C8;382;cs_map[1];UINT8;UINT8;;Associate current sensor 1 with phase L;
BATTERY_PLACEHOLDER;0x6D639C25;383;battery_placeholder[0].cells_stat[0].t_min.value;FLOAT;FLOAT;;;
WIFI;0x6D7C0BF4;384;wifi.sockb_port;INT32;INT32;;Port, either the client port or the master\'s port if unit is a slave;
BATTERY;0x6DB1FDDC;385;battery.cells_stat[4].u_min.value;FLOAT;FLOAT;;;
NET;0x6DCC4097;386;net.master_timeout;FLOAT;FLOAT;;;
G_SYNC;0x6E1C5B78;387;g_sync.p_ac_lp[1];FLOAT;FLOAT;W;AC power phase 2;
BATTERY;0x6E24632E;388;battery.cells_stat[5].u_max.time;UINT32;UINT32;;;
BATTERY_PLACEHOLDER;0x6E3336A8;389;battery_placeholder[0].cells_stat[5].t_max.index;UINT8;UINT8;;;
BATTERY;0x6E491B50;390;battery.maximum_charge_voltage;FLOAT;FLOAT;V;Max. charge voltage;
LOGGER;0x6F3876BC;391;logger.error_log_time_stamp;INT32;EVENT_TABLE;;Time stamp for error log reading;
DB;0x6FB2E2BF;392;db.power_board.afi_i150;FLOAT;FLOAT;A;AFI 150 mA threshold;
RB485;0x6FD36B32;393;rb485.f_wr[1];FLOAT;FLOAT;Hz;Power Storage phase 2 frequency;
ENERGY;0x6FF4BD55;394;energy.e_ext_month_sum;FLOAT;FLOAT;;;
DC_CONV;0x701A0482;395;dc_conv.dc_conv_struct[0].enabled;BOOL;BOOL;;Solar generator A connected;
BATTERY;0x70349444;396;battery.cells_stat[1].t_min.index;UINT8;UINT8;;;
BATTERY;0x70A2AF4F;397;battery.bat_status;INT32;INT32;;Current battery status (bitfield);
LOGGER;0x70BD7C46;398;logger.year_eac_log_ts;INT32;TIMESERIES;;;
GRID_MON;0x70E28322;399;grid_mon[0].f_under.time;FLOAT;FLOAT;s;Min. frequency switch-off time level 1;
BATTERY;0x71196579;400;battery.cells_stat[5].t_min.index;UINT8;UINT8;;;
FRT;0x71277E71;401;frt.u_min_begin;FLOAT;FLOAT;V;FRT begin undervoltage threshold;
NSM;0x71465EAF;402;nsm.cos_phi_ts;FLOAT;FLOAT;s;Time const for filter;
ADC;0x715C84A1;403;adc.u_ref_1_5v[2];UINT16;UINT16;V;Reference voltage 3;
BATTERY;0x71765BD8;404;battery.status;INT32;INT32;;Battery status;
HW_TEST;0x71B70DCE;405;hw_test.bt_power[4];FLOAT;FLOAT;;;
BATTERY;0x71CB0B57;406;battery.cells_resist[1];BATTERY_MODULE_RESISTANCE;BATTERY_MODULE_RESISTANCE;;;
G_SYNC;0x71E10B51;407;g_sync.p_ac_lp[0];FLOAT;FLOAT;W;AC power phase 1;
NSM;0x7232F7AF;408;nsm.apm;ENUM;ENUM;;Active power mode;0=Off|1=P(f)
BATTERY;0x7268CE4D;409;battery.inv_cmd;UINT32;UINT32;;;
LOGGER;0x72ACC0BF;410;logger.minutes_ua_log_ts;INT32;TIMESERIES;V;Histogram voltage generator A;
FLASH_RTC;0x7301A5A7;411;flash_rtc.time_stamp_factory;UINT32;UINT32;;Production date;
BATTERY;0x73489528;412;battery.module_sn[2];STRING;STRING;;Module 2 Serial Number;
PRIM_SM;0x73E3ED49;413;prim_sm.island_max_trials;UINT16;UINT16;;Max island trials;
DB;0x742966A6;414;db.power_board.afi_i300;FLOAT;FLOAT;A;AFI 300 mA threshold;
BATTERY;0x74FD4609;415;battery.cells_stat[2];BATTERY_MODULE_STATISTICS;BATTERY_MODULE_STATISTICS;;;
PRIM_SM;0x751E80CA;416;prim_sm.island_reset_retrials_operation_time;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x75898A45;417;battery_placeholder[0].cells_stat[5].t_max.time;UINT32;UINT32;;;
HW_TEST;0x75AE19ED;418;hw_test.hw_switch_time;FLOAT;FLOAT;;;
IO_BOARD;0x7689BE6A;419;io_board.home_relay_sw_on_delay;FLOAT;FLOAT;s;Switching on delay;
LOGGER;0x76C9A0BD;420;logger.minutes_soc_targ_log_ts;INT32;TIMESERIES;%;;
WIFI;0x76CAA9BF;421;wifi.encryption_algorithm;STRING;STRING;;;
BATTERY;0x770A6E7C;422;battery.cells_stat[0].u_max.index;UINT8;UINT8;;;
ISO_STRUCT;0x777DC0EB;423;iso_struct.r_min;FLOAT;FLOAT;Ohm;Minimum allowed insulation resistance;
BATTERY_PLACEHOLDER;0x77A9480F;424;battery_placeholder[0].minimum_discharge_voltage;FLOAT;FLOAT;V;Min. discharge voltage;
HW_TEST;0x77DD4364;425;hw_test.bt_time[5];FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x77E5CEF1;426;battery_placeholder[0].stack_software_version[0];UINT32;UINT32;;Software version stack 0;
BATTERY_PLACEHOLDER;0x78228507;427;battery_placeholder[0].stack_cycles[6];UINT16;UINT16;;;
BATTERY_PLACEHOLDER;0x7839EBCB;428;battery_placeholder[0].cells_stat[3].u_min.time;UINT32;UINT32;;;
OTHERS;0x7924ABD9;429;inverter_sn;STRING;STRING;;Serial number;
BATTERY_PLACEHOLDER;0x792897C9;430;battery_placeholder[0].cells_stat[4].t_min.time;UINT32;UINT32;;;
IO_BOARD;0x792A7B79;431;io_board.s0_direction;ENUM;ENUM;;S0 inputs single or bidirectional;0=I/O 1 & I/O 2 single|1=I/O 1 bidirectional|2=I/O 2 bidirectional
OTHERS;0x7940547B;432;inv_struct.force_dh;BOOL;BOOL;;;
OTHERS;0x7946D888;433;i_dc_slow_time;FLOAT;FLOAT;s;Time for slow DC-component of Iac;
ENERGY;0x79C0A724;434;energy.e_ac_total_sum;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x79D7D617;435;battery_placeholder[0].current;FLOAT;FLOAT;A;Battery current;
BATTERY_PLACEHOLDER;0x79E66CDF;436;battery_placeholder[0].cells_stat[6].t_min.index;UINT8;UINT8;;;
NSM;0x7A5C91F8;437;nsm.p_u[1][0];FLOAT;FLOAT;;Point 2 P/Pn;
CAN_BUS;0x7A67E33B;438;can_bus.bms_update_response[1];UINT32;UINT32;;;
RB485;0x7A9091EA;439;rb485.u_l_grid[1];FLOAT;FLOAT;V;Grid phase 2 voltage;
ENERGY;0x7AB9B045;440;energy.e_dc_month[1];FLOAT;FLOAT;Wh;Solar generator B month energy;
PARTITION;0x7AE87E39;441;partition[2].last_id;INT32;INT32;;;
POWER_MNG;0x7AF0AD03;972;power_mng.schedule[6]??;STRING;STRING;;;
POWER_MNG;0x7AF0AD03;442;power_mng.schedule[9];STRING;STRING;;;
NSM;0x7AF779C1;443;nsm.pu_mode;BOOL;BOOL;;P(U) mode 0: Pn 1: Pload;
WIFI;0x7B1F7FBE;444;wifi.gateway;STRING;STRING;;Gateway;
BATTERY_PLACEHOLDER;0x7B8E811E;445;battery_placeholder[0].cells_stat[6];STRING;STRING;;;
BATTERY_PLACEHOLDER;0x7BF3886B;446;battery_placeholder[0].stack_cycles[2];UINT16;UINT16;;;
PARTITION;0x7C0827C5;447;partition[5].last_id;INT32;INT32;;;
IO_BOARD;0x7C556C7A;448;io_board.io2_polarity;BOOL;BOOL;;Inverted signal on input I/O 2;
G_SYNC;0x7C78CBAC;449;g_sync.q_ac_sum_lp;FLOAT;FLOAT;var;Reactive power;
BATTERY_PLACEHOLDER;0x7C863EDB;450;battery_placeholder[0].cells[3];STRING;STRING;;;
BATTERY_PLACEHOLDER;0x7D839AE6;451;battery_placeholder[0].cells_resist[2];STRING;STRING;;;
DB;0x7DA7D8B6;452;db.power_board.version_main;UINT32;UINT32;;PIC software version;
WIFI;0x7DDE352B;453;wifi.sockb_ip;STRING;STRING;;IP of master unit if unit is a slave, else empty;
ENERGY;0x7E096024;454;energy.e_load_total_sum;FLOAT;FLOAT;;;
BATTERY;0x7E590128;455;battery.cells_stat[0].u_max.time;UINT32;UINT32;;;
NSM;0x7E75B17A;456;nsm.q_u_max_u_high_rel;FLOAT;FLOAT;;Qmax at upper voltage level relative to Smax (positive = overexcited);
BATTERY;0x7F42BB82;457;battery.cells_stat[6].u_max.index;UINT8;UINT8;;;
FAULT;0x7F813D73;458;fault[3].flt;UINT32;UINT32;;Error bit field 4;
BATTERY;0x7FF6252C;459;battery.cells_stat[5].t_max.time;UINT32;UINT32;;;
BATTERY;0x804A3266;460;battery.cells_stat[6].u_max.value;FLOAT;FLOAT;;;
DB;0x80835476;461;db.power_board.adc_p5V_W_meas;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0x8128228D;462;battery_placeholder[0].cells_stat[1].u_max.value;FLOAT;FLOAT;;;
ENERGY;0x812E5ADD;463;energy.e_dc_total_sum[1];FLOAT;FLOAT;;;
BATTERY;0x8160539D;464;battery.cells_stat[4].t_max.value;FLOAT;FLOAT;;;
ENERGY;0x81AE960B;465;energy.e_dc_month[0];FLOAT;FLOAT;Wh;Solar generator A month energy;
NSM;0x81AF854E;466;nsm.pu_use;BOOL;BOOL;;P(U) active;
CS_NEG;0x82258C01;467;cs_neg[0];FLOAT;FLOAT;;Multiply value of the current sensor 0 by;
GRID_MON;0x82CD1525;468;grid_mon[1].u_under.threshold;FLOAT;FLOAT;V;Min. voltage level 2;
G_SYNC;0x82E3C121;469;g_sync.q_ac[1];FLOAT;FLOAT;var;Reactive power phase 2;
IO_BOARD;0x8320B84C;470;io_board.rse_data_delay;FLOAT;FLOAT;s;Delay for new K4..K1 data;
BATTERY_PLACEHOLDER;0x8352F9DD;471;battery_placeholder[0].cells_stat[4].t_min.value;FLOAT;FLOAT;;;
NSM;0x83A5333A;472;nsm.cos_phi_p[0][0];FLOAT;FLOAT;P/Pn;Point 1;
FRT;0x83BBEF0B;473;frt.u_max_begin;FLOAT;FLOAT;V;FRT begin overvoltage threshold;
ENERGY;0x84ABE3D8;474;energy.e_grid_feed_year_sum;FLOAT;FLOAT;;;
P_REC;0x85886E2E;475;p_rec_lim[0];FLOAT;FLOAT;W;Max. compensation power;
BATTERY_PLACEHOLDER;0x8594D11E;476;battery_placeholder[0].module_sn[6];STRING;STRING;;Module 6 Serial Number;
HW_TEST;0x86782D58;477;hw_test.bt_power[9];FLOAT;FLOAT;;;
ENERGY;0x867DEF7D;478;energy.e_grid_load_day;FLOAT;FLOAT;Wh;Day energy grid load;
IO_BOARD;0x872F380B;479;io_board.load_set;FLOAT;FLOAT;W;Dummy household load;
OTHERS;0x87E4387A;480;current_sensor_max;FLOAT;FLOAT;A;Power Sensor current range;
BATTERY_PLACEHOLDER;0x8822EF35;481;battery_placeholder[0].stack_software_version[2];UINT32;UINT32;;Software version stack 2;
G_SYNC;0x883DE9AB;482;g_sync.s_ac_lp[2];FLOAT;FLOAT;VA;Apparent power phase 3;
BATTERY;0x885BB57E;483;battery.cells_stat[6].t_min.value;FLOAT;FLOAT;;;
G_SYNC;0x887D43C4;484;g_sync.i_dr_lp[0];FLOAT;FLOAT;A;Current phase 1 (average);
BATTERY;0x889DC27F;485;battery.cells_stat[0].u_min.value;FLOAT;FLOAT;;;
BATTERY;0x88BBF8CB;486;battery.cells_stat[5].t_min.value;FLOAT;FLOAT;;;
IO_BOARD;0x88C9707B;487;io_board.rse_table[15];FLOAT;FLOAT;;K4..K1: 1111;
NSM;0x88DEBCFE;488;nsm.q_u_max_u_high;FLOAT;FLOAT;var;Qmax at upper voltage level (positive = overexcited);
FRT;0x88DFDE8B;489;frt.u_max_end;FLOAT;FLOAT;V;FRT end overvoltage threshold;
IO_BOARD;0x88F36D45;490;io_board.rse_data;UINT8;UINT8;;Actual K4..K1 data;
FRT;0x89B21223;491;frt.t_max[0];FLOAT;FLOAT;s;Point 1 time;
BATTERY;0x89B25F4B;492;battery.stack_cycles[3];UINT16;UINT16;;;
G_SYNC;0x89EE3EB5;493;g_sync.i_dr_eff[0];FLOAT;FLOAT;A;Current phase 1;
G_SYNC;0x8A18539B;494;g_sync.u_zk_sum_avg;FLOAT;FLOAT;V;DC link voltage;
BATTERY_PLACEHOLDER;0x8AFD1410;495;battery_placeholder[0].stack_cycles[4];UINT16;UINT16;;;
BATTERY_PLACEHOLDER;0x8B4BE168;496;battery_placeholder[0].soc;FLOAT;FLOAT;;SOC (State of charge);
BATTERY;0x8B9FF008;497;battery.soc_target;FLOAT;FLOAT;%;Target SOC;
BATTERY;0x8BB08839;498;battery.cells_stat[6].t_min.time;UINT32;UINT32;;;
BATTERY_PLACEHOLDER;0x8C6E28E4;499;battery_placeholder[0].cells_stat[2].t_max.time;UINT32;UINT32;;;
WIFI;0x8CA00014;500;wifi.result;INT8;INT8;;WiFi result;
NSM;0x8D33B6BC;501;nsm.f_low_exit;FLOAT;FLOAT;Hz;Exit frequency for P(f) under-frequency mode;
LINE_MON;0x8D8E19F7;502;line_mon.u_min;FLOAT;FLOAT;V;Min line voltage;
DC_CONV;0x8DD1C728;503;dc_conv.dc_conv_struct[1].mpp.enable_scan;BOOL;BOOL;;Enable rescan for global MPP on solar generator B;
BATTERY;0x8DFFDD33;504;battery.cells_stat[3].u_min.time;UINT32;UINT32;;;
ISO_STRUCT;0x8E41FC47;505;iso_struct.Rp;FLOAT;FLOAT;Ohm;Insulation resistance on positive DC input;
POWER_MNG;0x8EBF9574;506;power_mng.soc_min_island;FLOAT;FLOAT;;Min SOC target (island);
BATTERY;0x8EC23427;507;battery.cells_stat[4].u_max.time;UINT32;UINT32;;;
DISPLAY_STRUCT;0x8EC4116E;508;display_struct.blink;BOOL;BOOL;;Display blinking enable;
BATTERY;0x8EF6FBBD;509;battery.cells[1];BATTERY_MODULE_STATUS;BATTERY_MODULE_STATUS;;;
BATTERY;0x8EF9C9B8;510;battery.cells_stat[6].t_max.time;UINT32;UINT32;;;
P_REC;0x8F0FF9F3;511;p_rec_available[1];FLOAT;FLOAT;W;Available battery to grid power;
OTHERS;0x8FC89B10;512;com_service;ENUM;ENUM;;COM service;0=Off|1=OnlineOsci protocol|2=COM protocol|3=Start bootloader|4=Reset DSP|5=Flash parameter|6=Erase parameters|7=Set SSID|8=Restart WiFi|9=Write WiFi parameters|10=Read WiFi parameters|11=Datalog bulk erase|12=Tune current sensors|13=Start battery booster test|14=Stop battery booster test|15=Start stack commission|16=Stop stack commission|17=Reset battery statistics
BATTERY;0x902AFAFB;513;battery.temperature;FLOAT;FLOAT;°C;Battery temperature;
HW_TEST;0x903FE89E;514;hw_test.bt_time[8];FLOAT;FLOAT;;;
RB485;0x905F707B;515;rb485.f_wr[2];FLOAT;FLOAT;Hz;Power Storage phase 3 frequency;
GRID_LT;0x9061EA7B;516;grid_lt.granularity;FLOAT;FLOAT;;Resolution;
WIFI;0x907CD1DF;517;wifi.connect_service_max_duration;INT32;INT32;s;Service connection max duration;
BATTERY;0x90832471;518;battery.cells_stat[1].u_max.time;UINT32;UINT32;;;
