group;object_id;index;name;req_type;resp_type;unit;description;enum_map
BATTERY_PLACEHOLDER;0xCE49EB86;732;battery_placeholder[0].cells_stat[2].t_max.index;UINT8;UINT8;;;
PRIM_SM;0xCF005C54;733;prim_sm.phase_3_mode;BOOL;BOOL;;;
G_SYNC;0xCF053085;734;g_sync.u_l_rms[0];FLOAT;FLOAT;V;AC voltage phase 1;
BATTERY_PLACEHOLDER;0xCF096A6B;735;battery_placeholder[0].stack_software_version[4];UINT32;UINT32;;Software version stack 4;
BATTERY;0xD0C47326;736;battery.cells_stat[1].t_min.value;FLOAT;FLOAT;;;
CAN_BUS;0xD143A391;737;can_bus.set_cell_v_t;UINT32;UINT32;;;
FLASH_RTC;0xD166D94D;738;flash_rtc.time_stamp;UINT32;UINT32;;Actual date/time;
POWER_MNG;0xD197CBE0;739;power_mng.stop_charge_current;FLOAT;FLOAT;A;Stop charge current;
POWER_MNG;0xD1DFC969;740;power_mng.soc_target_set;FLOAT;FLOAT;;Force SOC target;
BATTERY_PLACEHOLDER;0xD1F9D017;741;battery_placeholder[0].cells_stat[4].u_min.time;UINT32;UINT32;;;
BATTERY_PLACEHOLDER;0xD2DEA4B1;742;battery_placeholder[0].cells_stat[5].t_min.index;UINT8;UINT8;;;
NET;0xD3085D80;743;net.soc_av;FLOAT;FLOAT;;;
LOGGER;0xD3E94E6B;744;logger.minutes_temp_bat_log_ts;INT32;TIMESERIES;°C;;
BATTERY_PLACEHOLDER;0xD3F492EB;745;battery_placeholder[0].cells_stat[0].t_max.time;UINT32;UINT32;;;
CS_MAP;0xD451EF88;746;cs_map[2];UINT8;UINT8;;Associate current sensor 2 with phase L;
IO_BOARD;0xD45913EC;747;io_board.rse_table[13];FLOAT;FLOAT;;K4..K1: 1101;
HW_TEST;0xD4C4A941;748;hw_test.bt_time[7];FLOAT;FLOAT;;;
NET;0xD5205A45;749;net.slave_timeout;FLOAT;FLOAT;;;
FRT;0xD536E7E9;750;frt.u_max[1];FLOAT;FLOAT;V;Point 2 voltage;
PARTITION;0xD5567470;751;partition[4].last_id;INT32;INT32;;;
WIFI;0xD5790CE1;752;wifi.use_wifi;BOOL;BOOL;;Enable Wi-Fi Access Point;
NSM;0xD580567B;753;nsm.u_lock_in;FLOAT;FLOAT;V;Cos phi(P) lock in voltage;
BATTERY;0xD60E7A2F;754;battery.cells_stat[1].u_min.time;UINT32;UINT32;;;
BATTERY_PLACEHOLDER;0xD81471DF;755;battery_placeholder[0].cells_stat[6].t_max.value;FLOAT;FLOAT;;;
BATTERY_PLACEHOLDER;0xD82F2D0B;756;battery_placeholder[0].cells_stat[3].u_min.index;UINT8;UINT8;;;
WIFI;0xD83DC6AC;757;wifi.server_port;INT32;INT32;;;
BATTERY_PLACEHOLDER;0xD876A4AC;758;battery_placeholder[0].cells_stat[0].u_min.index;UINT8;UINT8;;;
NSM;0xD884AF95;759;nsm.pf_desc_grad;FLOAT;FLOAT;P/(Pn*s);Power decrease gradient for P(f) mode;
ENERGY;0xD9D66B76;760;energy.e_grid_load_year_sum;FLOAT;FLOAT;;;
GRID_LT;0xD9E721A5;761;grid_lt.timeframe;FLOAT;FLOAT;;Timeframe;
ACC_CONV;0xD9F9F35B;762;acc_conv.state_slow;UINT8;UINT8;;;
ENERGY;0xDA207111;763;energy.e_grid_load_month_sum;FLOAT;FLOAT;;;
OTHERS;0xDABD323E;764;osci_struct.error;INT16;INT16;;Communication error;
IO_BOARD;0xDAC7DD86;765;io_board.p_rse_desc_grad;FLOAT;FLOAT;P/Pn/s;Power descent gradient;
DC_CONV;0xDB11855B;766;dc_conv.dc_conv_struct[0].p_dc_lp;FLOAT;FLOAT;W;Solar generator A power;
